transaction_id,customer_id,transaction_date,amount,status
1,C001,2025-01-01,100.00,SUCCESS
2,C002,2025-01-02,200.00,SUCCESS
3,C001,2025-01-03,-50.00,SUCCESS
4,C003,2025-01-04,300.00,FAILED
5,C002,2025-01-05,150.00,SUCCESS
6,C001,2025-01-06,75.00,SUCCESS
7,C003,2025-01-07,0.00,SUCCESS
8,C003,2025-01-08,250.00,SUCCESS
9,C001,2025-01-09,125.00,SUCCESS
10,C002,2025-01-10,50.00,SUCCESS
11,C004,2025-01-11,400.00,SUCCESS
12,C005,2025-01-12,0.00,SUCCESS
13,C002,2025-01-13,-20.00,SUCCESS
14,C001,2025-01-14,300.00,FAILED
15,C006,2025-01-15,500.00,SUCCESS
